matrix_size,task1_cnt,task2_cnt,mode,cache-misses,total_time,epoch
10,10,6,bujunheng,58078,0.001718548,1
10,10,6,junheng,66936,0.001930659,1
10,12,10,bujunheng,54742,0.003082723,1
10,12,10,junheng,64670,0.001585061,1
10,20,10,bujunheng,61547,0.001722122,1
10,20,10,junheng,58321,0.002586926,1
100,10,6,bujunheng,139229,0.079992532,1
100,10,6,junheng,149952,0.071803323,1
100,12,10,bujunheng,88869,0.092265540,1
100,12,10,junheng,125467,0.099453092,1
100,20,10,bujunheng,183042,0.163233074,1
100,20,10,junheng,174056,0.143478003,1
1000,10,6,bujunheng,13356681,49.320739262,1
1000,10,6,junheng,14206035,40.853856968,1
1000,12,10,bujunheng,18786995,60.133381212,1
1000,12,10,junheng,16441800,55.026615600,1
1000,20,10,bujunheng,25656889,98.922541455,1
1000,20,10,junheng,28775100,73.317308866,1
10,10,6,bujunheng,43881,0.001922049,2
10,10,6,junheng,55032,0.002272089,2
10,12,10,bujunheng,68387,0.001773407,2
10,12,10,junheng,61367,0.001762666,2
10,20,10,bujunheng,46727,0.002561294,2
10,20,10,junheng,52807,0.002716371,2
100,10,6,bujunheng,108155,0.097669977,2
100,10,6,junheng,100010,0.067890387,2
100,12,10,bujunheng,125074,0.107338284,2
100,12,10,junheng,125228,0.115266084,2
100,20,10,bujunheng,121522,0.171355184,2
100,20,10,junheng,148701,0.146923881,2
1000,10,6,bujunheng,8274883,49.770965875,2
1000,10,6,junheng,14441282,38.686502180,2
1000,12,10,bujunheng,17260434,59.202549658,2
1000,12,10,junheng,20585702,55.666528515,2
1000,20,10,bujunheng,26322152,95.557237031,2
1000,20,10,junheng,30511333,74.120848686,2
10,10,6,bujunheng,49406,0.002620554,3
10,10,6,junheng,52821,0.002882172,3
10,12,10,bujunheng,46600,0.002586247,3
10,12,10,junheng,62623,0.001840949,3
10,20,10,bujunheng,44943,0.002883202,3
10,20,10,junheng,55289,0.002135480,3
100,10,6,bujunheng,121115,0.088017075,3
100,10,6,junheng,137505,0.093866865,3
100,12,10,bujunheng,109772,0.087828176,3
100,12,10,junheng,117474,0.095309028,3
100,20,10,bujunheng,128102,0.158288435,3
100,20,10,junheng,160960,0.138551641,3
1000,10,6,bujunheng,15268218,48.138442619,3
1000,10,6,junheng,16017903,39.935257072,3
1000,12,10,bujunheng,22424732,58.939402201,3
1000,12,10,junheng,28097363,56.385652652,3
1000,20,10,bujunheng,28970822,96.979562429,3
1000,20,10,junheng,26293547,73.266223583,3
10,10,6,bujunheng,45606,0.002292699,4
10,10,6,junheng,52745,0.001751359,4
10,12,10,bujunheng,60339,0.001690582,4
10,12,10,junheng,52964,0.001993656,4
10,20,10,bujunheng,61101,0.001662367,4
10,20,10,junheng,56676,0.002220637,4
100,10,6,bujunheng,131595,0.092217078,4
100,10,6,junheng,116543,0.069732329,4
100,12,10,bujunheng,115482,0.089078650,4
100,12,10,junheng,113131,0.089742957,4
100,20,10,bujunheng,147879,0.170231686,4
100,20,10,junheng,156355,0.136067164,4
1000,10,6,bujunheng,9239269,50.018740631,4
1000,10,6,junheng,13055452,39.923904271,4
1000,12,10,bujunheng,14982288,58.162655402,4
1000,12,10,junheng,17612963,52.413279466,4
1000,20,10,bujunheng,18020505,96.729329233,4
1000,20,10,junheng,24729954,72.152302410,4
10,10,6,bujunheng,47028,0.002515658,5
10,10,6,junheng,55356,0.001616786,5
10,12,10,bujunheng,47657,0.002313242,5
10,12,10,junheng,60547,0.001553760,5
10,20,10,bujunheng,47489,0.002060396,5
10,20,10,junheng,52032,0.002519675,5
